ObjectID            RA                  DEC                 z_match             Imag                Imag_error          Classification
100007              189.31765747        62.29302216         2.7924              24.688              0.035               1                   
100087              189.26950073        62.2931366          3.2199              25.515              0.051               1                   
100130              189.35746765        62.29400635         2.0391              24.329              0.03                1                   
100199              189.26950073        62.2931366          3.2199              25.719              0.056               1                   
100456              189.3344574         62.29348373         2.01169             24.231              0.021               1                   
100669              189.36125183        62.29390335         1.7944              25.428              0.043               1                   
100793              189.3540802         62.29482651         1.9775              24.022              0.024               1                   
100893              189.18417358        62.29482651         3.2021              24.894              0.039               1                   
101003              189.37257385        62.2946434          2.496               25.562              0.059               1                   
101088              189.38407898        62.29428482         1.8438              25.847              0.051               1                   
101238              189.3241272         62.29476166         2.24463             25.38               0.048               1                   
101340              189.35571289        62.29543686         2.9274              24.908              0.043               1                   
101373              189.3528595         62.29810333         1.99217             24.925              0.064               1                   
101563              189.3084259         62.29527664         1.56896             25.765              0.071               1                   
101705              189.38804626        62.2954216          2.579               25.502              0.045               1                   
101916              189.30334473        62.29645157         2.9109              25.718              0.061               1                   
101952              189.39483643        62.29600143         2.4002              25.073              0.039               1                   
102041              189.3183136         62.29666519         3.4234              25.65               0.069               1                   
102044              189.41169739        62.29593658         2.3776              25.561              0.043               1                   
102052              189.33473206        62.29596329         2.3662              25.425              0.04                1                   
102089              189.33992004        62.29637909         2.0239              25.715              0.064               1                   
102105              189.39483643        62.29600143         2.4002              25.067              0.032               1                   
102112              189.27961731        62.29644394         2.8687              25.71               0.06                1                   
102133              189.36161804        62.29653549         2.0751              25.424              0.066               1                   
102158              189.30334473        62.29645157         2.9109              25.803              0.081               1                   
102191              189.38514709        62.29673767         2.3123              24.678              0.032               1                   
102192              189.33825684        62.29725266         1.5581              24.247              0.024               1                   
102194              189.35070801        62.29618454         1.9905              25.857              0.06                1                   
102219              189.34819031        62.29649734         2.2555              25.652              0.057               1                   
102389              189.34228516        62.29729843         2.37198             24.871              0.034               1                   
102445              189.3348999         62.29738235         1.5912              25.066              0.043               1                   
102478              189.33766174        62.29753876         2.5468              25.932              0.075               1                   
102606              189.35626221        62.29842758         1.556               25.978              0.113               1                   
102643              189.27784729        62.2971077          2.7954              25.419              0.04                1                   
102705              189.38502502        62.29754639         1.9581              24.666              0.027               1                   
