ObjectID            RA                  DEC                 z_match             Imag                Imag_error          Classification
100062              53.09515381         -27.75713921        2.0185              25.628              0.057                1                  
100078              53.14491653         -27.75634575        2.6841              25.223              0.055                1                  
100182              53.12117767         -27.75669861        2.612               25.505              0.074                1                  
100262              53.10768509         -27.75667572        2.1744              25.018              0.038                1                  
100278              53.12283325         -27.75681877        1.6719              25.94               0.064                1                  
100295              53.12132645         -27.75587845        2.226               24.271              0.031                1                  
10042               53.16025543         -27.93033218        1.6868              25.736              0.051                1                  
100443              53.13812256         -27.75632858        1.6614              25.384              0.046                1                  
100593              53.15124512         -27.75593185        2.23167             24.441              0.029                1                  
100634              53.15031052         -27.75549316        2.31348             24.591              0.031                1                  
100650              53.12832642         -27.75515175        2.7321              24.075              0.032                1                  
100651              53.14100647         -27.75570107        2.31514             25.418              0.058                1                  
100727              53.15270615         -27.75600624        1.556               25.963              0.081                1                  
100756              53.09941483         -27.75502586        1.8207              24.828              0.031                1                  
100827              53.13592148         -27.75570297        2.7191              25.955              0.066                1                  
100842              53.13199997         -27.75559616        2.6631              25.768              0.063                1                  
100885              53.11896133         -27.755373          1.57024             25.426              0.066                1                  
100955              53.1133194          -27.7550354         1.6195              25.342              0.05                 1                  
100961              53.0828743          -27.75496674        1.8648              24.194              0.024                1                  
10107               53.17013168         -27.92965508        3.24397             25.302              0.053                1                  
101097              53.14100647         -27.75505066        2.1299              25.177              0.043                1                  
101106              53.1179657          -27.75521851        1.79128             25.121              0.041                1                  
101135              53.11923218         -27.75527573        1.7852              25.836              0.064                1                  
101313              53.11045837         -27.75465393        3.3166              25.221              0.059                1                  
101354              53.17884064         -27.75468826        1.6809              25.484              0.056                1                  
101690              53.12150192         -27.75411224        2.6638              24.672              0.033                1                  
101709              53.11278534         -27.75389862        2.387               25.617              0.063                1                  
101723              53.10137558         -27.75401306        2.2429              25.752              0.062                1                  
101730              53.114048           -27.75404167        3.1765              25.819              0.064                1                  
101794              53.14735031         -27.75349617        1.60909             24.07               0.031                1                  
101818              53.10810471         -27.75398827        2.6827              25.921              0.062                1                  
101908              53.12317276         -27.75401115        2.1112              25.378              0.043                1                  
102075              53.1056366          -27.75355911        2.1906              25.474              0.044                1                  
102083              53.08686829         -27.75319672        1.7198              24.852              0.033                1                  
102346              53.11232758         -27.75268555        2.3979              25.279              0.098                1                  
102366              53.11285019         -27.75245285        1.6509              25.333              0.063                1                  
102430              53.15842438         -27.75256348        2.1913              25.987              0.071                1                  
102551              53.11924362         -27.75253868        2.2875              25.534              0.047                1                  
102560              53.1122551          -27.75240135        3.0499              25.693              0.069                1                  
102627              53.12988281         -27.7519207         3.4023              25.246              0.04                 1                  
102632              53.12384033         -27.75229645        2.5975              25.398              0.044                1                  
102930              53.13223267         -27.75139809        2.1556              25.895              0.07                 1                  
103034              53.12651062         -27.75037956        2.58407             23.725              0.026                1                  
103154              53.14020157         -27.75113678        3.1451              25.362              0.046                1                  
103340              53.12651825         -27.75012779        2.6477              24.313              0.03                 1                  
103367              53.14746094         -27.75083542        3.3222              25.603              0.048                1                  
103575              53.1075592          -27.75000954        2.23491             24.025              0.019                1                  
103652              53.13130188         -27.74990082        1.6262              25.018              0.047                1                  
103771              53.15315247         -27.74940681        2.8366              25.281              0.06                 1                  
103805              53.15286636         -27.74924088        3.07145             24.07               0.022                1                  
103824              53.11001968         -27.74971771        2.5514              25.321              0.057                1                  
103964              53.13913727         -27.74882317        1.67113             24.242              0.033                1                  
104022              53.08325958         -27.74935913        2.0779              25.002              0.034                1                  
104139              53.14922333         -27.74858856        2.52366             24.094              0.021                1                  
104276              53.11054993         -27.74896431        2.6808              24.862              0.033                1                  
